,province,temperature
0,黑龙江,-19.0
1,黑龙江,-21.0
2,黑龙江,-20.0
3,黑龙江,-22.0
4,黑龙江,-22.0
5,黑龙江,-24.0
6,黑龙江,-24.0
7,黑龙江,-24.0
8,黑龙江,-24.0
9,黑龙江,-24.0
10,黑龙江,-22.0
11,黑龙江,-19.0
12,黑龙江,-17.0
13,黑龙江,-16.0
14,黑龙江,-16.0
15,黑龙江,-15.0
16,黑龙江,-15.0
17,黑龙江,-15.0
18,黑龙江,-16.0
19,黑龙江,-19.0
20,黑龙江,-19.0
21,黑龙江,-19.0
22,黑龙江,-20.0
23,黑龙江,-21.0
24,黑龙江,-21.0
25,黑龙江,-22.0
26,黑龙江,-23.0
27,黑龙江,-24.0
28,黑龙江,-24.0
29,黑龙江,-25.0
30,黑龙江,-24.0
31,黑龙江,-25.0
32,黑龙江,-25.0
33,黑龙江,-26.0
34,黑龙江,-25.0
35,黑龙江,-26.0
36,黑龙江,-24.0
37,黑龙江,-22.0
38,黑龙江,-19.0
39,黑龙江,-17.0
40,黑龙江,-16.0
41,黑龙江,-15.0
42,黑龙江,-15.0
43,黑龙江,-16.0
44,黑龙江,-17.0
45,黑龙江,-20.0
46,黑龙江,-19.0
47,黑龙江,-20.0
48,黑龙江,-21.0
49,黑龙江,-22.0
50,黑龙江,-21.0
51,黑龙江,-22.0
52,黑龙江,-23.0
53,黑龙江,-23.0
54,黑龙江,-23.0
55,黑龙江,-24.0
56,黑龙江,-25.0
57,黑龙江,-25.0
58,黑龙江,-26.0
59,黑龙江,-26.0
60,黑龙江,-26.0
61,黑龙江,-25.0
62,黑龙江,-21.0
63,黑龙江,-19.0
64,黑龙江,-18.0
65,黑龙江,-17.0
66,黑龙江,-16.0
67,黑龙江,-16.0
68,黑龙江,-18.0
69,黑龙江,-19.0
70,黑龙江,-20.0
71,黑龙江,-21.0
72,黑龙江,-22.0
73,黑龙江,-22.0
74,黑龙江,-23.0
75,黑龙江,-22.0
76,黑龙江,-23.0
77,黑龙江,-24.0
78,黑龙江,-24.0
79,黑龙江,-25.0
80,黑龙江,-24.0
81,黑龙江,-25.0
82,黑龙江,-25.0
83,黑龙江,-26.0
84,黑龙江,-25.0
85,黑龙江,-26.0
86,黑龙江,-24.0
87,黑龙江,-22.0
88,黑龙江,-19.0
89,黑龙江,-17.0
90,黑龙江,-16.0
91,黑龙江,-15.0
92,黑龙江,-15.0
93,黑龙江,-16.0
94,黑龙江,-17.0
95,黑龙江,-20.0
96,黑龙江,-19.0
97,黑龙江,-20.0
98,黑龙江,-21.0
99,黑龙江,-22.0
100,黑龙江,-21.0
101,黑龙江,-22.0
102,黑龙江,-22.0
103,黑龙江,-23.0
104,黑龙江,-23.0
105,黑龙江,-24.0
106,黑龙江,-24.0
107,黑龙江,-24.0
108,黑龙江,-24.0
109,黑龙江,-25.0
110,黑龙江,-25.0
111,黑龙江,-24.0
112,黑龙江,-20.0
113,黑龙江,-18.0
114,黑龙江,-18.0
115,黑龙江,-16.0
116,黑龙江,-15.0
117,黑龙江,-15.0
